node_idx,ref,name,lat,lon,log_catchment_area_km2,gauge_datum_mOSGM15,p90_mAOD,amax_med_mAOD,is_reservoir,is_tidal,has_discharge,easting_itm,northing_itm
0,19056,Ballincolly,51.92285,-8.45611,1.5368672609329224,55.60300064086914,55.7859992980957,56.11800003051758,0.0,0.0,1.0,568627.1762592634,574623.3600856366
1,19057,Glen Park,51.91294,-8.45212,2.180417537689209,35.84000015258789,36.31399917602539,36.95100021362305,0.0,0.0,1.0,568894.7732856142,573519.2104233794
2,19058,Blackpool Retail Park,51.91658,-8.47343,2.4647040367126465,10.508000373840332,10.993000030517578,11.89900016784668,0.0,0.0,1.0,567431.316314682,573933.4618727062
3,19059,Glennamought Bridge,51.929203,-8.477429,2.9128940105438232,40.650001525878906,41.22499847412109,41.7400016784668,0.0,0.0,1.0,567165.4256541687,575339.5035608215
4,19045,Gothic Bridge,51.92805667,-8.558214444,3.152735948562622,27.86100006103516,28.410999298095703,28.98500061035156,0.0,0.0,1.0,561608.5699251663,575251.5111184116
5,19110,Cooleen Bridge,51.871,-9.07412,3.433018922805786,67.78399658203125,68.16300201416016,69.15399932861328,0.0,0.0,1.0,526034.0590598654,569302.3960452069
6,19114,Carrigrohane Bridge,51.889797,-8.540992,3.858622312545776,3.697000026702881,4.925000190734863,6.056000232696533,0.0,0.0,1.0,562761.4126163813,570986.3917254737
7,19113,County Hall,51.892643,-8.509638,3.8840348720550537,0.8859999775886536,3.0179998874664307,3.747999906539917,0.0,0.0,1.0,564921.8325890091,571287.4230618991
8,19112,Coolmuckey Br,51.86084,-8.783723,4.2656331062316895,42.84700012207031,43.58200073242188,44.57799911499024,0.0,0.0,1.0,546018.8366215557,567917.1241918298
9,19054,Ballyvourney,51.93931,-9.16104,4.28482723236084,116.822998046875,117.57599639892578,118.7699966430664,0.0,0.0,1.0,520169.9686866661,576993.053172586
10,19111,Killaclug,51.911624,-9.02315,4.328494071960449,77.18199920654297,77.76899719238281,79.74500274658203,0.0,0.0,1.0,529607.3629991463,573770.9166372656
11,19055,Ballymakera,51.934472,-9.146258,4.33388614654541,111.93800354003906,112.8759994506836,114.33300018310548,0.0,0.0,1.0,521177.8289419925,576438.7555062003
12,19104,Morris's Bridge,51.92933,-8.93616,4.420165061950684,100.5469970703125,101.27200317382812,102.61699676513672,0.0,0.0,1.0,535617.4700467039,575660.0254990023
13,19107,Dripsey Bridge,51.915989,-8.746053,4.420886516571045,46.4010009765625,46.94300079345703,47.858001708984375,0.0,0.0,1.0,548676.2868403109,574024.8182515712
14,19108,Bawnafinny Bridge,51.93005,-8.58539,4.49423885345459,24.233999252319336,24.974000930786133,25.94099998474121,0.0,0.0,1.0,559741.3585758455,575487.9425364125
15,19103,Ovens Bridge,51.880537,-8.654934,4.777609825134277,20.972999572753903,21.62800025939941,22.14299964904785,1.0,0.0,1.0,554909.1500954722,570020.6838967695
16,19106,Cooldaniel,51.85761,-9.02229,5.150629043579102,66.25700378417969,67.30400085449219,68.33899688720703,0.0,0.0,1.0,529582.1734152806,567761.5175466307
17,19105,Muskerry,51.914717,-8.60186,5.347726345062256,16.167999267578125,16.85099983215332,18.32900047302246,0.0,0.0,1.0,558594.5831354007,573791.471370892
18,19101,Macroom Town Bridge,51.906031,-8.962501,5.35663366317749,64.66799926757812,65.6760025024414,67.95800018310547,0.0,0.0,1.0,533771.6862323186,573091.8289849178
19,19095,Carrigadrohid Headrace,51.89700912,-8.86418388,6.426731109619141,0.0,60.93999862670898,61.334999084472656,1.0,0.0,0.0,540524.7040373939,572003.3367554125
20,19094,Inniscarra Headrace,51.900141,-8.661891,6.668888568878174,0.0,45.540000915527344,46.17499923706055,1.0,0.0,0.0,554450.0037350602,572205.8314555115
21,19109,Inniscarra Tailrace,51.89202,-8.63343,6.674737930297852,11.343000411987305,12.95699977874756,14.017999649047852,1.0,0.0,1.0,556400.7531581218,571284.9977621096
22,19102,Waterworks Weir,51.893989,-8.510053,7.078341484069824,2.0,3.2850000858306885,3.690999984741211,0.0,0.0,1.0,564894.317374388,571437.3578302675
23,19162,Fitzgerald's Park,51.896472,-8.498278,7.078341484069824,0.1509999930858612,1.6519999504089355,2.6700000762939453,0.0,0.0,0.0,565706.646781069,571707.9659331276
24,19163,Pope's Quay,51.900999,-8.473513,0.0,-2.943000078201294,0.0,0.0,0.0,1.0,0.0,567414.3323457842,572200.1955270263
25,19161,St. Patrick's Quay (East),51.900174,-8.46393,0.0,-4.803999900817871,0.0,0.0,0.0,1.0,0.0,568073.2158397532,572104.1731414206
26,19160,Currach Club,51.901606,-8.44391,0.0,-2.1989998817443848,0.0,0.0,0.0,1.0,0.0,569451.9189216697,572254.8859281805
